L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
7,3,7,3,0.05,0.5,10.0,4.0,2.0,34,15,19,0.4412,-0.2756,-9.3703,-20.4404,0.9359,9.1261,-7.698,-49.5522,13.85,14.7756,-11.7953,"{'sl': 19, 'tp': 13, 'end': 2}",29,-0.709,0.471
10,3,7,3,0.0,0.5,10.0,4.0,2.0,26,11,15,0.4231,0.672,17.4717,5.8423,1.1579,11.6445,-7.3745,-42.0892,13.38,17.1149,-11.7953,"{'sl': 15, 'tp': 11}",24,-0.712,0.423
7,2,5,3,0.05,0.0,5.0,5.0,1.0,33,7,26,0.2121,0.1094,3.611,-2.7785,1.0447,12.0505,-3.1055,-28.6923,8.7,17.5312,-5.4444,"{'sl': 26, 'tp': 7}",26,-0.714,0.273
7,3,5,3,0.05,0.0,5.0,4.0,2.0,29,16,13,0.5517,2.6414,76.5992,94.8609,2.0555,9.3234,-5.5827,-17.3023,16.66,14.7756,-10.0389,"{'tp': 15, 'sl': 13, 'end': 1}",24,-0.716,0.517
7,2,5,3,0.05,0.5,5.0,5.0,1.0,29,6,23,0.2069,0.1283,3.7207,-2.3667,1.0505,12.9107,-3.2062,-31.2634,8.86,17.5312,-5.4444,"{'sl': 23, 'tp': 6}",23,-0.716,0.31
10,2,7,3,0.05,0.0,5.0,6.0,1.5,34,7,27,0.2059,-0.3912,-13.2994,-23.635,0.9007,17.2304,-4.9597,-42.0668,15.26,21.6111,-8.3217,"{'sl': 27, 'tp': 7}",30,-0.725,0.382
10,2,7,3,0.05,0.5,5.0,6.0,1.5,33,7,26,0.2121,-0.331,-10.9231,-21.7761,0.917,17.2304,-5.0591,-40.6566,15.7,21.6111,-8.3217,"{'sl': 26, 'tp': 7}",29,-0.736,0.394
10,2,7,5,0.0,0.0,5.0,4.0,1.0,22,7,15,0.3182,2.0246,44.5402,43.6051,1.8617,13.7474,-3.4461,-17.2911,9.36,21.941,-7.1599,"{'sl': 15, 'tp': 7}",20,-0.745,0.409
10,3,7,3,0.0,0.0,5.0,4.0,2.0,25,11,14,0.44,1.5915,39.788,36.8612,1.5176,10.6053,-5.4907,-19.3728,14.24,14.005,-8.2553,"{'sl': 14, 'tp': 11}",23,-0.755,0.44
7,3,5,3,0.05,0.0,10.0,6.0,1.5,34,11,23,0.3235,0.7268,24.7095,12.9339,1.2182,12.5392,-4.9227,-45.8288,15.09,21.0575,-8.6981,"{'tp': 10, 'sl': 23, 'end': 1}",28,-0.762,0.353
