L,S,W,k,eps,pullback_rise_pct,max_rise_pct,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit,alpha_avg,alpha_pos
5,3,10,5,0.05,1.0,3.0,6.0,1.0,46,9,37,0.1957,0.9622,44.2607,34.2169,1.3937,17.4102,-3.0387,-20.792,18.65,24.0698,-5.8515,"{'tp': 9, 'sl': 37}",32,1.079,0.609
5,3,3,5,0.0,1.0,5.0,6.0,1.0,48,6,42,0.125,-0.8381,-40.2278,-40.0296,0.716,16.8993,-3.372,-51.664,16.5,24.0698,-6.7432,"{'tp': 6, 'sl': 42}",31,1.069,0.604
5,3,5,5,0.0,1.0,5.0,6.0,1.0,48,6,42,0.125,-0.8381,-40.2278,-40.0296,0.716,16.8993,-3.372,-51.664,16.5,24.0698,-6.7432,"{'tp': 6, 'sl': 42}",31,1.069,0.604
5,3,7,5,0.0,1.0,5.0,6.0,1.0,48,6,42,0.125,-0.8381,-40.2278,-40.0296,0.716,16.8993,-3.372,-51.664,16.5,24.0698,-6.7432,"{'tp': 6, 'sl': 42}",31,1.069,0.604
5,3,10,5,0.0,1.0,5.0,6.0,1.0,48,6,42,0.125,-0.8381,-40.2278,-40.0296,0.716,16.8993,-3.372,-51.664,16.5,24.0698,-6.7432,"{'tp': 6, 'sl': 42}",31,1.069,0.604
10,3,5,3,0.05,1.0,10.0,6.0,1.5,21,6,15,0.2857,1.53,32.1303,20.9605,1.4112,18.3781,-5.2092,-19.9693,19.76,30.0457,-8.3217,"{'sl': 15, 'tp': 5, 'end': 1}",19,1.065,0.476
7,3,10,3,0.05,0.0,10.0,6.0,1.5,39,14,25,0.359,2.8404,110.7762,137.9853,1.8804,16.9003,-5.0331,-30.7363,12.26,30.0457,-8.8716,"{'sl': 25, 'tp': 13, 'end': 1}",29,1.064,0.487
5,3,3,5,0.0,1.0,5.0,8.0,1.5,48,10,38,0.2083,0.6411,30.7748,2.0528,1.1593,22.4018,-5.0854,-47.41,22.58,32.1264,-10.0648,"{'tp': 10, 'sl': 38}",31,1.064,0.562
5,3,5,5,0.0,1.0,5.0,8.0,1.5,48,10,38,0.2083,0.6411,30.7748,2.0528,1.1593,22.4018,-5.0854,-47.41,22.58,32.1264,-10.0648,"{'tp': 10, 'sl': 38}",31,1.064,0.562
5,3,7,5,0.0,1.0,5.0,8.0,1.5,48,10,38,0.2083,0.6411,30.7748,2.0528,1.1593,22.4018,-5.0854,-47.41,22.58,32.1264,-10.0648,"{'tp': 10, 'sl': 38}",31,1.064,0.562
5,3,10,5,0.0,1.0,5.0,8.0,1.5,48,10,38,0.2083,0.6411,30.7748,2.0528,1.1593,22.4018,-5.0854,-47.41,22.58,32.1264,-10.0648,"{'tp': 10, 'sl': 38}",31,1.064,0.562
5,2,10,5,0.05,1.0,10.0,4.0,2.0,76,33,43,0.4342,0.9008,68.4586,38.9153,1.2375,10.8077,-6.7022,-36.1831,18.64,43.5001,-14.2617,"{'sl': 43, 'tp': 30, 'end': 3}",41,1.06,0.487
5,3,3,5,0.0,1.0,3.0,6.0,1.5,31,7,24,0.2258,0.1657,5.1374,-6.4863,1.0467,16.4376,-4.5802,-28.6853,24.0,24.0698,-8.3217,"{'tp': 7, 'sl': 24}",22,1.045,0.516
5,3,5,5,0.0,1.0,3.0,6.0,1.5,31,7,24,0.2258,0.1657,5.1374,-6.4863,1.0467,16.4376,-4.5802,-28.6853,24.0,24.0698,-8.3217,"{'tp': 7, 'sl': 24}",22,1.045,0.516
5,3,7,5,0.0,1.0,3.0,6.0,1.5,31,7,24,0.2258,0.1657,5.1374,-6.4863,1.0467,16.4376,-4.5802,-28.6853,24.0,24.0698,-8.3217,"{'tp': 7, 'sl': 24}",22,1.045,0.516
5,3,10,5,0.0,1.0,3.0,6.0,1.5,31,7,24,0.2258,0.1657,5.1374,-6.4863,1.0467,16.4376,-4.5802,-28.6853,24.0,24.0698,-8.3217,"{'tp': 7, 'sl': 24}",22,1.045,0.516
7,2,5,3,0.05,1.0,5.0,4.0,2.0,22,12,10,0.5455,3.379,74.3371,87.2082,2.0428,12.1354,-7.1287,-15.849,19.95,19.3253,-10.5039,"{'sl': 10, 'tp': 12}",17,1.034,0.591
7,3,7,3,0.0,0.0,10.0,5.0,1.5,21,7,14,0.3333,1.4941,31.3754,22.5688,1.3842,16.1485,-5.8332,-35.561,14.14,18.4207,-8.8716,"{'sl': 14, 'tp': 7}",20,1.033,0.524
