L,S,W,k,eps,tp_atr,sl_atr,n_trades,n_win,n_loss,win_rate,avg_return,total_return,cum_return,profit_factor,avg_win,avg_loss,max_drawdown,avg_holding_bars,best_return,worst_return,exit_counts,tickers_hit
10,2,5,3,0.0,4.0,2.0,64,25,39,0.3906,-0.0955,-6.113,-28.5917,0.9784,11.0911,-7.2664,-64.7286,16.81,18.7187,-14.3329,"{'sl': 39, 'tp': 23, 'end': 2}",50
10,2,10,3,0.05,2.0,1.0,99,34,65,0.3434,-0.2465,-24.4024,-29.8637,0.8935,6.0209,-3.5248,-59.5078,5.58,10.8623,-7.2165,"{'sl': 65, 'tp': 33, 'end': 1}",63
10,2,10,3,0.0,2.0,1.0,87,30,57,0.3448,-0.2964,-25.7865,-29.9677,0.8747,6.0026,-3.6117,-57.9863,6.0,9.3093,-7.2165,"{'sl': 57, 'tp': 29, 'end': 1}",61
7,2,7,3,0.05,2.0,1.0,112,37,75,0.3304,-0.2269,-25.4165,-32.3457,0.9046,6.512,-3.5515,-60.1358,6.23,11.8949,-7.2165,"{'sl': 75, 'tp': 37}",65
7,2,7,5,0.0,2.0,1.0,150,54,96,0.36,-0.1422,-21.33,-32.3523,0.9372,5.8985,-3.5401,-51.5734,5.29,15.5522,-9.8894,"{'sl': 96, 'tp': 54}",81
10,2,10,3,0.0,3.0,2.0,85,37,48,0.4353,-0.1247,-10.5956,-33.7189,0.9696,9.1209,-7.2514,-75.7124,12.2,14.6263,-14.3329,"{'sl': 48, 'tp': 36, 'end': 1}",61
10,2,5,3,0.0,3.0,2.0,64,28,36,0.4375,-0.3096,-19.8174,-34.2222,0.9245,8.6698,-7.2937,-68.2262,11.97,14.014,-14.3329,"{'sl': 36, 'tp': 27, 'end': 1}",50
7,2,10,3,0.05,2.0,1.0,114,37,77,0.3246,-0.2586,-29.4783,-35.0658,0.891,6.512,-3.512,-60.1358,6.18,11.8949,-7.2165,"{'sl': 77, 'tp': 37}",65
7,2,5,5,0.05,4.0,2.0,191,71,120,0.3717,0.1894,36.1766,-35.5894,1.0472,11.2979,-6.3831,-66.6689,17.21,28.1396,-19.6788,"{'sl': 119, 'tp': 67, 'end': 5}",87
7,3,5,3,0.05,3.0,1.0,64,16,48,0.25,-0.6133,-39.252,-37.0156,0.7407,7.0086,-3.154,-59.2378,6.97,11.0567,-7.7321,"{'sl': 48, 'tp': 16}",46
