ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
000810.KS,2022-11-25,2022-12-13,165532.9844,172154.3037,3.9,12,tp
000100.KS,2022-11-30,2022-12-06,51741.0508,53810.6928,3.9,4,tp
001040.KS,2022-12-09,2022-12-22,73513.5,76454.04,3.9,9,tp
005830.KS,2022-12-09,2022-12-19,49856.6562,51850.9225,3.9,6,tp
105560.KS,2022-12-12,2022-12-16,44825.1328,42583.8762,-5.1,4,sl
241560.KS,2022-12-12,2022-12-21,31240.1582,32489.7645,3.9,7,tp
004310.KS,2022-12-13,2022-12-16,5064.5293,4811.3028,-5.1,3,sl
036570.KS,2022-12-14,2022-12-16,434083.25,412379.0875,-5.1,2,sl
207940.KS,2022-12-14,2023-01-04,1286917.625,1222571.7437,-5.1,14,sl
105560.KS,2022-12-20,2022-12-29,44488.7344,42264.2977,-5.1,7,sl
097950.KS,2022-12-21,2023-01-03,357771.625,339883.0438,-5.1,8,sl
036570.KS,2022-12-26,2022-12-29,413960.2188,430518.6275,3.9,3,tp
091810.KS,2022-12-26,2022-12-27,2475.0,2574.0,3.9,1,tp
090430.KS,2022-12-27,2023-01-02,137225.8594,130364.5664,-5.1,3,sl
192080.KS,2022-12-27,2023-01-03,36947.3906,35100.0211,-5.1,4,sl
001450.KS,2022-12-28,2023-01-03,28180.4863,26771.462,-5.1,3,sl
010130.KS,2022-12-28,2023-01-02,530920.25,504374.2375,-5.1,2,sl
006400.KS,2023-01-02,2023-01-12,598307.75,622240.06,3.9,8,tp
009150.KS,2023-01-04,2023-01-17,139096.0625,144659.905,3.9,9,tp
028260.KS,2023-01-04,2023-01-27,109416.2031,113792.8513,3.9,15,tp
192080.KS,2023-01-04,2023-01-12,35778.168,37209.2947,3.9,6,tp
105560.KS,2023-01-05,2023-01-06,46642.9766,48508.6956,3.9,1,tp
009830.KS,2023-01-06,2023-01-09,44992.125,46791.81,3.9,1,tp
012330.KS,2023-01-06,2023-04-12,201545.6562,209607.4825,3.9,65,tp
028050.KS,2023-01-06,2023-01-11,21929.0605,22806.223,3.9,3,tp
051910.KS,2023-01-06,2023-01-09,583814.625,607167.21,3.9,1,tp
000150.KS,2023-01-09,2023-01-10,85366.1406,88780.7863,3.9,1,tp
002790.KS,2023-01-09,2023-01-10,36437.082,34615.2279,-5.1,1,sl
051900.KS,2023-01-09,2023-01-26,741152.6875,704095.0531,-5.1,11,sl
090430.KS,2023-01-09,2023-01-10,141299.1719,134234.2133,-5.1,1,sl
241560.KS,2023-01-10,2023-01-13,30825.1465,32058.1523,3.9,3,tp
011150.KS,2023-01-12,2023-01-13,3390.0,3525.6,3.9,1,tp
010130.KS,2023-01-13,2023-01-19,516146.8438,512453.5,-0.8156,4,end
047810.KS,2023-01-13,2023-01-16,48724.3594,46288.1414,-5.1,1,sl
002790.KS,2023-01-16,2023-01-20,36870.2852,38345.0966,3.9,4,tp
004020.KS,2023-01-16,2023-02-07,32245.8848,30633.5905,-5.1,14,sl
373220.KS,2023-01-20,2023-01-26,469500.0,488280.0,3.9,2,tp
042700.KS,2023-01-25,2023-01-31,13509.2852,14049.6566,3.9,4,tp
069500.KS,2023-01-25,2023-04-13,30311.2637,31523.7142,3.9,55,tp
018260.KS,2023-01-27,2023-02-13,121310.1016,115244.5965,-5.1,11,sl
035510.KS,2023-01-27,2023-02-03,13330.7236,13863.9526,3.9,5,tp
010140.KS,2023-01-31,2023-02-08,5790.0,5500.5,-5.1,6,sl
066570.KS,2023-01-31,2023-02-08,96607.4375,100471.735,3.9,6,tp
099750.KS,2023-01-31,2023-02-02,14550.0,15132.0,3.9,2,tp
005930.KS,2023-02-02,2023-02-27,59410.0742,56439.5705,-5.1,17,sl
004020.KS,2023-02-14,2023-02-15,31827.709,33100.8173,3.9,1,tp
000990.KS,2023-02-16,2023-02-17,49057.6719,46604.7883,-5.1,1,sl
018260.KS,2023-02-16,2023-02-27,123670.2188,117486.7078,-5.1,7,sl
017900.KS,2023-02-17,2023-03-10,2193.134,2083.4773,-5.1,14,sl
105560.KS,2023-02-24,2023-03-16,43873.8164,41680.1256,-5.1,13,sl
005930.KS,2023-03-06,2023-03-30,57538.8945,59840.4503,3.9,18,tp
004310.KS,2023-03-07,2023-03-13,4937.1816,4690.3226,-5.1,4,sl
000990.KS,2023-03-08,2023-03-09,50584.7578,48055.5199,-5.1,1,sl
071050.KS,2023-03-13,2023-03-14,53089.8867,50435.3924,-5.1,1,sl
011810.KS,2023-03-17,2023-03-21,5890.0718,6125.6746,3.9,2,tp
032830.KS,2023-03-17,2023-04-28,56234.7109,58484.0994,3.9,30,tp
000990.KS,2023-03-20,2023-03-23,46671.5977,44338.0178,-5.1,3,sl
002790.KS,2023-03-20,2023-03-23,36244.5508,34432.3232,-5.1,3,sl
004020.KS,2023-03-23,2023-04-03,31502.4609,32762.5594,3.9,7,tp
000990.KS,2023-03-24,2023-03-27,54020.7031,56181.5312,3.9,1,tp
090430.KS,2023-03-29,2023-04-19,132431.4219,137728.6787,3.9,15,tp
017900.KS,2023-03-30,2023-04-03,2151.667,2044.0836,-5.1,2,sl
047810.KS,2023-04-05,2023-04-17,49900.8047,51896.8369,3.9,8,tp
011210.KS,2023-04-11,2023-04-12,61047.7578,63489.6681,3.9,1,tp
402340.KS,2023-04-12,2023-04-28,40846.7266,42480.5956,3.9,12,tp
017900.KS,2023-04-13,2023-04-20,2105.5928,2189.8165,3.9,5,tp
009540.KS,2023-04-14,2023-04-19,77810.0,80922.4,3.9,3,tp
010140.KS,2023-04-14,2023-04-28,5660.0,5886.4,3.9,10,tp
071050.KS,2023-04-19,2023-04-27,50532.4062,48005.7859,-5.1,6,sl
105560.KS,2023-04-19,2023-06-01,43251.1875,41088.6281,-5.1,28,sl
009160.KS,2023-04-20,2023-04-21,10907.3838,10362.0146,-5.1,1,sl
011150.KS,2023-04-20,2023-04-21,3435.0,3572.4,3.9,1,tp
009160.KS,2023-04-24,2023-04-25,11476.624,10902.7928,-5.1,1,sl
004310.KS,2023-04-27,2023-05-04,4927.3857,5124.4812,3.9,4,tp
161390.KS,2023-04-28,2023-05-08,30049.2129,31251.1814,3.9,4,tp
017900.KS,2023-05-04,2023-05-08,2446.5422,2544.4039,3.9,1,tp
010140.KS,2023-05-09,2023-05-22,5610.0,5834.4,3.9,9,tp
009160.KS,2023-05-19,2023-05-24,10429.957,10847.1553,3.9,3,tp
018260.KS,2023-05-22,2023-07-06,116873.0703,111029.4168,-5.1,31,sl
329180.KS,2023-05-22,2023-06-05,115579.0469,120202.2088,3.9,9,tp
071050.KS,2023-05-24,2023-06-21,49562.3242,47084.208,-5.1,18,sl
180640.KS,2023-05-30,2023-05-31,46231.582,48080.8453,3.9,1,tp
004020.KS,2023-06-02,2023-06-14,31084.2891,32327.6606,3.9,7,tp
105560.KS,2023-06-05,2023-07-26,42464.0078,44162.5681,3.9,36,tp
028100.KS,2023-06-13,2023-06-19,12588.2949,13091.8267,3.9,4,tp
035510.KS,2023-06-20,2023-06-23,13275.6758,12611.892,-5.1,3,sl
011210.KS,2023-06-21,2023-06-27,58393.5039,60729.2441,3.9,4,tp
001450.KS,2023-06-22,2023-07-06,29678.4512,28194.5286,-5.1,10,sl
004020.KS,2023-06-26,2023-07-26,31920.6367,30324.6049,-5.1,22,sl
006400.KS,2023-06-30,2023-07-03,664896.8125,691492.685,3.9,1,tp
161390.KS,2023-07-03,2023-07-06,30920.2031,32157.0112,3.9,3,tp
051910.KS,2023-07-13,2023-07-20,658511.4375,684851.895,3.9,5,tp
047040.KS,2023-07-17,2023-07-18,4695.0,4460.25,-5.1,1,sl
004020.KS,2023-07-27,2023-07-31,32478.2031,33777.3313,3.9,2,tp
015760.KS,2023-07-27,2023-08-16,18682.8906,17748.7461,-5.1,13,sl
017900.KS,2023-07-27,2023-07-28,2331.3567,2424.611,3.9,1,tp
000150.KS,2023-07-31,2023-08-01,103902.8047,108058.9169,3.9,1,tp
047040.KS,2023-07-31,2023-08-10,4520.0,4700.8,3.9,8,tp
180640.KS,2023-08-01,2023-08-07,42625.9102,44330.9466,3.9,4,tp
047810.KS,2023-08-02,2023-08-09,48822.3984,46381.2785,-5.1,5,sl
373220.KS,2023-08-09,2023-08-16,553000.0,525350.0,-5.1,4,sl
011210.KS,2023-08-11,2023-08-17,56876.7891,54032.9496,-5.1,3,sl
373220.KS,2023-08-17,2023-09-08,540000.0,513000.0,-5.1,16,sl
032830.KS,2023-08-25,2023-09-11,58866.5977,61221.2616,3.9,11,tp
017900.KS,2023-08-28,2023-09-12,2239.208,2127.2476,-5.1,11,sl
047040.KS,2023-08-28,2023-08-29,4525.0,4706.0,3.9,1,tp
002380.KS,2023-09-08,2023-09-13,205167.6562,213374.3625,3.9,3,tp
103140.KS,2023-09-11,2023-09-27,32878.4805,31234.5564,-5.1,12,sl
402340.KS,2023-09-12,2023-09-14,40347.3789,41961.2741,3.9,2,tp
071050.KS,2023-09-13,2023-09-15,47886.7266,49802.1956,3.9,2,tp
180640.KS,2023-09-14,2023-09-15,51862.3477,49269.2303,-5.1,1,sl
011210.KS,2023-09-19,2023-09-25,55644.4648,57870.2434,3.9,4,tp
047810.KS,2023-09-21,2023-09-27,48528.2852,46101.8709,-5.1,4,sl
028100.KS,2023-10-04,2023-10-11,11528.7959,11989.9477,3.9,4,tp
180640.KS,2023-10-18,2023-10-19,43910.1211,45666.5259,3.9,1,tp
028100.KS,2023-10-25,2023-11-03,11708.3711,12176.7059,3.9,7,tp
066570.KS,2023-10-25,2023-10-27,104714.3516,99478.634,-5.1,2,sl
090430.KS,2023-10-31,2023-11-01,123173.8906,128100.8463,3.9,1,tp
180640.KS,2023-11-01,2023-11-03,44700.4062,42465.3859,-5.1,2,sl
009540.KS,2023-11-03,2023-11-06,89953.2109,93551.3394,3.9,1,tp
078930.KS,2023-11-03,2023-11-09,34375.1562,35750.1625,3.9,4,tp
012330.KS,2023-11-06,2024-01-02,215664.5,224291.08,3.9,38,tp
039490.KS,2023-11-06,2023-11-13,83909.5547,79714.077,-5.1,5,sl
069500.KS,2023-11-06,2023-12-20,31716.9102,32985.5866,3.9,32,tp
071050.KS,2023-11-06,2023-12-06,51590.6719,53654.2988,3.9,22,tp
060980.KS,2023-11-09,2024-02-02,28314.0723,29446.6352,3.9,58,tp
004990.KS,2023-11-10,2023-11-29,25129.9531,23873.4555,-5.1,13,sl
097950.KS,2023-11-14,2024-01-08,296323.7812,281507.5922,-5.1,36,sl
047040.KS,2023-11-15,2023-11-24,4390.0,4565.6,3.9,7,tp
011810.KS,2023-11-20,2023-11-23,15470.0,14696.5,-5.1,3,sl
011810.KS,2023-11-27,2023-11-30,15290.0,15901.6,3.9,3,tp
090430.KS,2023-12-11,2023-12-13,124148.375,129114.31,3.9,2,tp
002380.KS,2023-12-14,2024-01-16,206081.5312,195777.4547,-5.1,20,sl
004020.KS,2023-12-14,2024-01-02,32803.4492,34115.5872,3.9,10,tp
035720.KS,2023-12-14,2024-01-02,54084.1172,56247.4819,3.9,10,tp
039490.KS,2023-12-14,2023-12-20,84963.9141,88362.4706,3.9,4,tp
004990.KS,2023-12-15,2023-12-27,24181.6523,25148.9184,3.9,7,tp
047040.KS,2023-12-15,2023-12-19,4350.0,4132.5,-5.1,2,sl
069620.KS,2023-12-22,2023-12-27,111667.0078,116133.6881,3.9,2,tp
006280.KS,2024-01-09,2024-01-17,116001.6797,110201.5957,-5.1,6,sl
005940.KS,2024-01-19,2024-01-26,8250.9492,8580.9872,3.9,5,tp
069500.KS,2024-01-19,2024-02-02,31864.0352,33138.5966,3.9,10,tp
039490.KS,2024-01-23,2024-01-30,84667.1484,88053.8344,3.9,5,tp
002380.KS,2024-01-29,2024-01-30,213392.6406,221928.3463,3.9,1,tp
004990.KS,2024-01-29,2024-01-30,24375.8184,25350.8511,3.9,1,tp
032640.KS,2024-01-30,2024-04-11,8970.3271,8521.8108,-5.1,48,sl
035510.KS,2024-01-30,2024-02-26,12887.1055,12242.7502,-5.1,17,sl
035720.KS,2024-02-02,2024-02-14,56076.1641,53272.3559,-5.1,6,sl
047810.KS,2024-02-13,2024-02-19,50612.2773,52636.7684,3.9,4,tp
006280.KS,2024-02-16,2024-02-26,113646.3203,118192.1731,3.9,6,tp
011200.KS,2024-02-16,2024-02-19,16778.8281,17449.9813,3.9,1,tp
011210.KS,2024-02-28,2024-03-06,57255.9688,54393.1703,-5.1,4,sl
035720.KS,2024-03-07,2024-03-12,52746.3281,54856.1813,3.9,3,tp
009150.KS,2024-03-14,2024-03-20,141141.7188,146787.3875,3.9,4,tp
035720.KS,2024-03-20,2024-03-26,52746.3281,54856.1813,3.9,4,tp
011210.KS,2024-03-21,2024-03-28,56876.7891,54032.9496,-5.1,5,sl
009160.KS,2024-03-22,2024-03-25,8294.0234,8625.7844,3.9,1,tp
047810.KS,2024-03-26,2024-04-15,50414.1875,47893.4781,-5.1,13,sl
009160.KS,2024-04-05,2024-04-12,8557.624,8129.7428,-5.1,4,sl
010130.KS,2024-04-15,2024-04-23,461896.2812,438801.4672,-5.1,6,sl
009160.KS,2024-04-17,2024-04-25,8312.8506,7897.2081,-5.1,6,sl
105630.KS,2024-04-17,2024-04-18,18588.5234,19332.0644,3.9,1,tp
060980.KS,2024-04-18,2024-04-29,28728.0684,29877.1911,3.9,7,tp
004990.KS,2024-04-22,2024-04-29,24057.4785,25019.7777,3.9,5,tp
047810.KS,2024-04-23,2024-04-29,50810.3711,52842.7859,3.9,4,tp
006280.KS,2024-04-29,2024-05-17,112959.3359,117477.7094,3.9,11,tp
011210.KS,2024-05-02,2024-05-21,56676.2695,53842.4561,-5.1,11,sl
009160.KS,2024-05-03,2024-05-27,8115.1504,7709.3929,-5.1,14,sl
010130.KS,2024-05-08,2024-05-16,469515.2188,488295.8275,3.9,5,tp
032640.KS,2024-05-08,2024-08-05,8899.6943,8454.7096,-5.1,61,sl
011200.KS,2024-05-09,2024-05-10,16280.0752,16931.2782,3.9,1,tp
011150.KS,2024-05-14,2024-05-16,3025.0,3146.0,3.9,1,tp
015760.KS,2024-05-14,2024-06-03,18864.9277,19619.5248,3.9,13,tp
021050.KS,2024-05-16,2024-05-17,1633.0,1551.35,-5.1,1,sl
011200.KS,2024-05-20,2024-05-23,16515.3359,15689.5691,-5.1,3,sl
066570.KS,2024-05-28,2024-05-29,106337.125,110590.61,3.9,1,tp
006280.KS,2024-05-31,2024-06-05,112566.7734,117069.4444,3.9,3,tp
021050.KS,2024-06-03,2024-06-17,1459.0,1386.05,-5.1,9,sl
003550.KS,2024-06-12,2024-06-27,76440.5234,72618.4973,-5.1,11,sl
