indicator,tp_pct,sl_pct,ma_window,k,accel_window,min_angle_delta,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
angle_accel,3.0,5.0,10,3,3,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,3,5,3.0,40,20,0.5,-1.1,-44.0,-37.82271652569108,0.5686274509803922,-47.62313561435628,1.95,20,"{'tp': 20, 'sl': 20}",MA 각도 가속
angle_accel,3.0,5.0,10,3,3,1.0,712,419,0.5884831460674157,-0.3871029494382021,-275.6172999999999,-96.39308422759012,0.815110953632858,-98.14864946454269,1.723314606741573,92,"{'tp': 419, 'sl': 292, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,5,5,10,1.0,5204,3244,0.6233666410453498,-0.11313921983089924,-588.7764999999996,-99.99479449529748,0.9410776709655627,-99.99856013249743,2.878554957724827,101,"{'sl': 1959, 'tp': 3242, 'end': 3}",MA 각도 가속
angle_accel,3.0,5.0,5,10,10,1.0,2660,1651,0.6206766917293233,-0.13244075187969914,-352.2923999999997,-99.61478144493653,0.9314084275842041,-99.92997229782824,2.354511278195489,98,"{'tp': 1648, 'sl': 1007, 'end': 5}",MA 각도 가속
angle_accel,3.0,5.0,10,3,5,2.0,182,92,0.5054945054945055,-1.0560439560439558,-192.19999999999996,-87.52117780776774,0.5812636165577337,-90.31277489272098,1.521978021978022,46,"{'tp': 92, 'sl': 90}",MA 각도 가속
angle_accel,3.0,5.0,10,3,5,5.0,4,3,0.75,0.9,3.6,3.3980472160999753,1.7058823529411764,-5.100000000000005,5.0,2,"{'tp': 3, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,3,5,10.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,0.0,7.5,1,"{'sl': 1, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,3,5,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,3,10,5.0,10,6,0.6,-0.2999999999999999,-2.9999999999999987,-3.715340638504161,0.8529411764705882,-7.328157100000022,2.4,4,"{'sl': 4, 'tp': 6}",MA 각도 가속
angle_accel,3.0,5.0,10,3,10,10.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,0.0,5.0,1,"{'sl': 1, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,3,10,3.0,107,55,0.514018691588785,-0.9878504672897197,-105.7,-68.32703957370063,0.6014328808446455,-73.44786499262386,1.3738317757009346,33,"{'tp': 55, 'sl': 52}",MA 각도 가속
angle_accel,3.0,5.0,10,3,10,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,3,5,1.0,1487,874,0.5877605917955615,-0.39550591795561524,-588.1172999999999,-99.9146272060525,0.8116648919836578,-99.94628725525739,2.0316072629455277,98,"{'tp': 874, 'sl': 612, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,3,10,2.0,440,243,0.5522727272727272,-0.6749059090909091,-296.9586,-96.4348319104461,0.7035331199672219,-98.83823618600235,1.6681818181818182,66,"{'tp': 243, 'sl': 196, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,5,3,3.0,4,3,0.75,0.9,3.6,3.3980472160999753,1.7058823529411764,-5.100000000000005,5.0,2,"{'tp': 3, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,5,3,2.0,31,14,0.45161290322580644,-1.4870967741935484,-46.1,-38.71688137195021,0.4682814302191465,-40.44400522055413,2.032258064516129,17,"{'tp': 14, 'sl': 17}",MA 각도 가속
angle_accel,3.0,5.0,10,5,3,5.0,2,1,0.5,-1.0999999999999999,-2.1999999999999997,-2.347900000000014,0.5686274509803921,0.0,7.5,1,"{'sl': 1, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,5,3,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,5,3,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,10,5,3,1.0,336,166,0.49404761904761907,-1.1476190476190475,-385.59999999999997,-98.42888374035283,0.5552479815455592,-98.87059651343047,1.4970238095238095,66,"{'tp': 166, 'sl': 170}",MA 각도 가속
angle_accel,3.0,5.0,10,5,5,5.0,4,3,0.75,0.9,3.6,3.3980472160999753,1.7058823529411764,-5.100000000000005,4.5,2,"{'tp': 3, 'sl': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,5,5,3.0,27,15,0.5555555555555556,-0.6555555555555554,-17.699999999999996,-18.073354952800734,0.71078431372549,-26.925866964307467,2.111111111111111,15,"{'tp': 15, 'sl': 12}",MA 각도 가속
angle_accel,3.0,5.0,10,5,5,2.0,123,60,0.4878048780487805,-1.1975609756097565,-147.30000000000004,-79.45558077185696,0.5415499533146589,-81.77074119693326,1.6260162601626016,39,"{'sl': 63, 'tp': 60}",MA 각도 가속
angle_accel,3.0,5.0,10,5,5,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,5.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,5,5,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,3.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,5,10,5.0,10,6,0.6,-0.2999999999999999,-2.9999999999999987,-3.71534063850415,0.8529411764705882,-9.939900000000002,1.9,3,"{'sl': 4, 'tp': 6}",MA 각도 가속
angle_accel,3.0,5.0,10,5,10,10.0,2,0,0.0,-5.1,-10.2,-9.939900000000012,0.0,-5.100000000000005,3.0,2,{'sl': 2},MA 각도 가속
angle_accel,3.0,5.0,10,5,10,3.0,83,40,0.4819277108433735,-1.244578313253012,-103.29999999999998,-66.95831969463285,0.5289557683538532,-72.04236431572379,1.5060240963855422,28,"{'tp': 40, 'sl': 43}",MA 각도 가속
angle_accel,3.0,5.0,10,5,10,2.0,348,190,0.5459770114942529,-0.732183908045977,-254.8,-94.1523311827748,0.6837925043435091,-96.6544542889673,1.5689655172413792,58,"{'sl': 158, 'tp': 190}",MA 각도 가속
angle_accel,3.0,5.0,10,5,10,20.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,3.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,3,10,1.0,3243,2017,0.6219549799568301,-0.121891304347826,-395.2934999999997,-99.83894201023273,0.9366520542523735,-99.91395994910135,2.501387604070305,99,"{'sl': 1223, 'tp': 2015, 'end': 5}",MA 각도 가속
angle_accel,3.0,5.0,10,5,5,1.0,1071,625,0.5835667600373483,-0.42679738562091496,-457.0999999999999,-99.56082334670091,0.7985988720479377,-99.68349642049444,1.8860877684407096,97,"{'tp': 625, 'sl': 445, 'end': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,10,3,2.0,7,5,0.7142857142857143,0.6142857142857142,4.3,3.8985050350130335,1.4215686274509804,-9.939900000000012,2.5714285714285716,2,"{'tp': 5, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,10,10,3,3.0,4,2,0.5,-1.0999999999999996,-4.399999999999999,-4.640673655900029,0.5686274509803921,-9.939900000000012,3.25,2,"{'tp': 2, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,10,10,3,5.0,2,0,0.0,-5.1,-10.2,-9.939900000000012,0.0,-5.100000000000005,3.0,2,{'sl': 2},MA 각도 가속
angle_accel,3.0,5.0,10,10,3,1.0,105,52,0.49523809523809526,-1.1380952380952378,-119.49999999999997,-72.41272867245783,0.5578986311505734,-77.53337874117263,1.438095238095238,32,"{'tp': 52, 'sl': 53}",MA 각도 가속
angle_accel,3.0,5.0,10,10,3,10.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,10,10,3,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,10,10,5,3.0,8,5,0.625,-0.09999999999999992,-0.7999999999999994,-1.4003187217726532,0.9477124183006537,-14.532965100000016,2.25,2,"{'tp': 5, 'sl': 3}",MA 각도 가속
angle_accel,3.0,5.0,10,10,5,5.0,4,2,0.5,-1.0999999999999996,-4.399999999999999,-4.640673655900029,0.5686274509803921,-9.939900000000012,2.5,2,"{'tp': 2, 'sl': 2}",MA 각도 가속
angle_accel,3.0,5.0,10,10,5,10.0,1,0,0.0,-5.1,-5.1,-5.100000000000005,0.0,0.0,3.0,1,{'sl': 1},MA 각도 가속
angle_accel,3.0,5.0,10,10,5,2.0,35,19,0.5428571428571428,-0.7571428571428569,-26.499999999999993,-25.500815410436893,0.6752450980392156,-30.343692454990755,1.542857142857143,14,"{'sl': 16, 'tp': 19}",MA 각도 가속
angle_accel,3.0,5.0,10,10,5,20.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,{},MA 각도 가속
angle_accel,3.0,5.0,10,10,10,5.0,7,3,0.42857142857142855,-1.6714285714285713,-11.7,-11.628754899897364,0.4264705882352941,-18.891783879900014,1.8571428571428572,2,"{'tp': 3, 'sl': 4}",MA 각도 가속
angle_accel,3.0,5.0,10,10,10,3.0,54,25,0.46296296296296297,-1.3962962962962957,-75.39999999999996,-55.2178923653176,0.49019607843137264,-59.29343265445435,1.537037037037037,17,"{'sl': 29, 'tp': 25}",MA 각도 가속
angle_accel,3.0,5.0,10,10,10,10.0,4,1,0.25,-3.0999999999999996,-12.399999999999999,-12.054421087900025,0.18954248366013074,-9.939900000000012,1.75,2,"{'sl': 3, 'tp': 1}",MA 각도 가속
angle_accel,3.0,5.0,10,5,10,1.0,2610,1616,0.6191570881226054,-0.14455647509578531,-377.2923999999997,-99.6894182771037,0.9254302232116217,-99.93934589366503,2.393486590038314,98,"{'tp': 1613, 'sl': 992, 'end': 5}",MA 각도 가속
angle_accel,3.0,5.0,10,10,10,2.0,205,120,0.5853658536585366,-0.41707317073170724,-85.49999999999999,-63.90284055243982,0.8027681660899648,-77.82250622585896,1.551219512195122,40,"{'tp': 120, 'sl': 85}",MA 각도 가속
