indicator,tp_pct,sl_pct,window,div_window,min_gap,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_obv,3.0,3.0,20,14,3,958,481,0.5020876826722338,-0.08747390396659711,-83.80000000000004,-71.93035539762558,0.9433285994454581,-81.21807333880643,3.1795407098121085,98,"{'tp': 481, 'sl': 477}",OBV 다이버전스
div_obv,3.0,3.0,20,20,2,1426,715,0.5014025245441796,-0.0915848527349229,-130.60000000000005,-85.77021172603884,0.940746790073045,-93.04763535617072,3.208976157082749,98,"{'tp': 715, 'sl': 711}",OBV 다이버전스
div_obv,3.0,3.0,20,10,2,1397,700,0.5010737294201861,-0.09355762347888336,-130.70000000000005,-85.59759769158222,0.9395103438700415,-92.54925342756401,3.2025769506084467,98,"{'tp': 700, 'sl': 697}",OBV 다이버전스
div_obv,3.0,3.0,20,20,3,966,486,0.5031055900621118,-0.08136645962732922,-78.60000000000002,-70.53644687660466,0.947177419354838,-80.42616046529956,3.186335403726708,98,"{'tp': 486, 'sl': 480}",OBV 다이버전스
div_obv,3.0,3.0,20,30,3,968,488,0.5041322314049587,-0.07520661157024798,-72.80000000000004,-68.80278194727097,0.9510752688172037,-79.27441617323827,3.1838842975206614,98,"{'tp': 488, 'sl': 480}",OBV 다이버전스
div_obv,3.0,3.0,20,30,2,1428,717,0.5021008403361344,-0.08739495798319331,-124.80000000000005,-84.9329167542107,0.9433782496256968,-92.63855126816316,3.2072829131652663,98,"{'tp': 717, 'sl': 711}",OBV 다이버전스
div_obv,3.0,3.0,30,10,2,1152,566,0.4913194444444444,-0.15208333333333338,-175.20000000000005,-89.70004167998175,0.9035560938016071,-93.11891112954113,3.2647569444444446,98,"{'tp': 566, 'sl': 586}",OBV 다이버전스
div_obv,3.0,3.0,30,10,3,772,380,0.49222797927461137,-0.14663212435233164,-113.20000000000002,-77.26143708677165,0.906846609611586,-86.54092219969849,3.2033678756476682,98,"{'tp': 380, 'sl': 392}",OBV 다이버전스
div_obv,3.0,3.0,30,14,3,798,388,0.48621553884711777,-0.18270676691729323,-145.8,-83.78511030526258,0.8852871754523991,-89.80803587516549,3.200501253132832,98,"{'tp': 388, 'sl': 410}",OBV 다이버전스
div_obv,3.0,3.0,30,14,2,1178,574,0.4872665534804754,-0.17640067911714774,-207.80000000000004,-92.65509044450967,0.8890194402905359,-94.77410598360319,3.261460101867572,98,"{'tp': 574, 'sl': 604}",OBV 다이버전스
div_obv,3.0,3.0,30,20,2,1186,578,0.4873524451939292,-0.17588532883642496,-208.6,-92.73989236241795,0.8893251273344648,-94.834442442756,3.261382799325464,98,"{'tp': 578, 'sl': 608}",OBV 다이버전스
div_obv,3.0,3.0,30,30,2,1187,579,0.4877843302443134,-0.17329401853411963,-205.7,-92.5293492409281,0.8908637521222407,-94.68464127359591,3.261162594776748,98,"{'tp': 579, 'sl': 608}",OBV 다이버전스
div_obv,3.0,3.0,30,20,3,806,392,0.48635235732009924,-0.1818858560794045,-146.60000000000002,-83.9723221060883,0.8857721676796004,-89.92570895180569,3.2009925558312653,98,"{'tp': 392, 'sl': 414}",OBV 다이버전스
div_obv,3.0,3.0,30,30,3,807,393,0.48698884758364314,-0.1780669144981413,-143.70000000000002,-83.50751944716487,0.8880317905563342,-89.63355451140805,3.200743494423792,98,"{'tp': 393, 'sl': 414}",OBV 다이버전스
