ticker,entry_date,exit_date,entry_price,exit_price,return_pct,holding_bars,exit_reason
180640.KS,2021-07-28,2021-08-03,66195.7344,62082.6573,-6.3135,4,sl
069620.KS,2021-08-04,2021-08-20,174641.0938,159952.9924,-8.5104,11,sl
011210.KS,2021-08-06,2021-08-17,87422.2188,81395.7349,-6.9935,6,sl
028050.KS,2021-08-06,2021-08-18,21789.6816,20123.2027,-7.748,7,sl
091810.KS,2021-08-06,2021-08-13,3818.365,3553.4461,-7.038,5,sl
180640.KS,2021-08-06,2021-08-17,65900.6562,61995.6061,-6.0257,6,sl
035720.KS,2021-08-25,2021-09-08,150163.625,141222.4349,-6.0543,10,sl
035420.KS,2021-09-02,2021-09-08,430642.375,408670.1925,-5.2022,4,sl
028050.KS,2021-09-06,2021-09-15,22254.2812,24993.9221,12.2106,7,tp
010130.KS,2021-09-16,2021-09-29,449157.9688,422007.3908,-6.1448,6,sl
010130.KS,2021-10-12,2021-10-18,473158.8125,521514.2829,10.1197,4,tp
000150.KS,2021-12-28,2022-01-18,111858.8828,99986.9737,-10.7133,13,sl
042700.KS,2022-01-17,2022-01-28,18039.541,16801.4211,-6.9634,9,sl
042700.KS,2022-02-07,2022-02-11,18451.1816,17173.3088,-7.0257,4,sl
099750.KS,2022-02-09,2022-02-14,20300.0,18442.911,-9.2482,3,sl
000660.KS,2022-02-11,2022-02-24,126663.8047,118914.1588,-6.2183,9,sl
012450.KS,2022-03-02,2022-03-18,57777.4648,53847.9247,-6.9012,11,sl
011070.KS,2022-03-10,2022-03-18,330747.7188,365803.4836,10.4989,6,tp
105630.KS,2022-03-21,2022-03-29,21122.0508,23294.5653,10.1855,6,tp
005830.KS,2022-03-23,2022-04-07,53096.1484,57405.1584,8.0155,11,tp
086790.KS,2022-03-31,2022-04-07,36986.5781,35268.9215,-4.744,5,sl
034020.KS,2022-04-29,2022-05-12,20600.0,19247.454,-6.6658,7,sl
028050.KS,2022-05-02,2022-05-19,24252.0547,22533.4969,-7.1862,11,sl
047040.KS,2022-05-04,2022-05-10,6750.0,6322.768,-6.4294,2,sl
078930.KS,2022-05-04,2022-05-23,37232.9648,35616.2319,-4.4422,11,sl
011070.KS,2022-05-30,2022-06-22,360859.1562,335769.524,-7.0527,15,sl
001450.KS,2022-06-08,2022-06-23,27681.9082,26075.634,-5.9026,11,sl
005830.KS,2022-06-10,2022-06-23,50093.6875,46877.314,-6.5207,9,sl
329180.KS,2022-06-10,2022-06-15,133920.2812,122112.2346,-8.9172,3,sl
051910.KS,2022-07-25,2022-08-01,537764.5,601735.4412,11.7957,5,tp
047810.KS,2022-07-26,2022-08-08,52389.2812,59771.6807,13.9914,9,tp
009830.KS,2022-07-29,2022-08-25,47371.5156,53727.2433,13.3168,18,tp
