indicator,tp_pct,sl_pct,period,div_window,min_gap,thr_cross,n_trades,n_win,win_rate,avg_return,total_return,cum_return,profit_factor,max_drawdown,avg_holding_bars,tickers_hit,exit_counts,label
div_rsi,3.0,3.0,21,10,2,30.0,87,44,0.5057471264367817,-0.06551724137931035,-5.700000000000001,-9.176360145413254,0.9572393098274572,-29.134283656232974,2.6091954022988504,49,"{'tp': 44, 'sl': 43}",RSI 다이버전스
div_rsi,3.0,3.0,14,30,2,50.0,559,302,0.5402504472271914,0.1415026833631484,79.09999999999995,71.6539811039581,1.0992845487636496,-67.24155573106741,3.361359570661896,99,"{'tp': 302, 'sl': 257}",RSI 다이버전스
div_rsi,3.0,3.0,14,30,3,50.0,410,219,0.5341463414634147,0.10487804878048779,42.99999999999999,27.88172612482147,1.0726228677588234,-44.96484629553527,3.3560975609756096,99,"{'tp': 219, 'sl': 191}",RSI 다이버전스
div_rsi,3.0,3.0,14,30,3,30.0,221,109,0.49321266968325794,-0.14072398190045257,-31.100000000000016,-33.696129861822875,0.9104262672811051,-42.80915375144152,2.8687782805429864,85,"{'tp': 109, 'sl': 112}",RSI 다이버전스
div_rsi,3.0,3.0,21,10,3,30.0,63,32,0.5079365079365079,-0.052380952380952445,-3.300000000000004,-5.9564356523601925,0.9656607700312178,-22.52951745094538,2.7301587301587302,42,"{'tp': 32, 'sl': 31}",RSI 다이버전스
div_rsi,3.0,3.0,21,10,2,50.0,346,162,0.4682080924855491,-0.29075144508670536,-100.60000000000005,-68.74887263581327,0.8236325385694246,-78.10477667680712,3.179190751445087,97,"{'sl': 184, 'tp': 162}",RSI 다이버전스
div_rsi,3.0,3.0,21,14,3,30.0,63,32,0.5079365079365079,-0.052380952380952445,-3.300000000000004,-5.9564356523601925,0.9656607700312178,-22.52951745094538,2.7301587301587302,42,"{'tp': 32, 'sl': 31}",RSI 다이버전스
div_rsi,3.0,3.0,21,14,2,30.0,87,44,0.5057471264367817,-0.06551724137931035,-5.700000000000001,-9.176360145413254,0.9572393098274572,-29.134283656232974,2.6091954022988504,49,"{'tp': 44, 'sl': 43}",RSI 다이버전스
div_rsi,3.0,3.0,21,10,3,50.0,257,113,0.4396887159533074,-0.4618677042801557,-118.70000000000002,-72.86303694018332,0.7340949820788526,-81.74452829589198,3.217898832684825,94,"{'sl': 144, 'tp': 113}",RSI 다이버전스
div_rsi,3.0,3.0,21,20,2,30.0,87,44,0.5057471264367817,-0.06551724137931035,-5.700000000000001,-9.176360145413254,0.9572393098274572,-29.134283656232974,2.6091954022988504,49,"{'tp': 44, 'sl': 43}",RSI 다이버전스
